SYMB,MM/DD/YY,NAV
CUUR0000AA0,01/01/1923,50.3
CWUR0000SA0,12/01/1932,13.2
CWUR0000SA0,11/01/1932,13.3
CWUR0000SA0,10/01/1932,13.4
CWUR0000SA0,09/01/1932,13.5
CWUR0000SA0,08/01/1932,13.5
CWUR0000SA0,07/01/1932,13.7
CWUR0000SA0,06/01/1932,13.7
CWUR0000SA0,05/01/1932,13.8
CWUR0000SA0,04/01/1932,14.0
CWUR0000SA0,03/01/1932,14.1
CWUR0000SA0,02/01/1932,14.2
CWUR0000SA0,01/01/1932,14.4
CWUR0000SA0,12/01/1931,14.7
CWUR0000SA0,11/01/1931,14.8
CWUR0000SA0,10/01/1931,15.0
CWUR0000SA0,09/01/1931,15.1
CWUR0000SA0,08/01/1931,15.1
CWUR0000SA0,07/01/1931,15.2
CWUR0000SA0,06/01/1931,15.2
CWUR0000SA0,05/01/1931,15.4
CWUR0000SA0,04/01/1931,15.5
CWUR0000SA0,03/01/1931,15.6
CWUR0000SA0,02/01/1931,15.7
CWUR0000SA0,01/01/1931,16.0
CWUR0000SA0,12/01/1930,16.2
CWUR0000SA0,11/01/1930,16.5
CWUR0000SA0,10/01/1930,16.6
CWUR0000SA0,09/01/1930,16.7
CWUR0000SA0,08/01/1930,16.6
CWUR0000SA0,07/01/1930,16.7
CWUR0000SA0,06/01/1930,16.9
CWUR0000SA0,05/01/1930,17.0
CWUR0000SA0,04/01/1930,17.1
CWUR0000SA0,03/01/1930,17.0
CWUR0000SA0,02/01/1930,17.1
CWUR0000SA0,01/01/1930,17.2
CWUR0000SA0,12/01/1929,17.3
CWUR0000SA0,11/01/1929,17.4
CWUR0000SA0,10/01/1929,17.4
CWUR0000SA0,09/01/1929,17.4
CWUR0000SA0,08/01/1929,17.4
CWUR0000SA0,07/01/1929,17.4
CWUR0000SA0,06/01/1929,17.2
CWUR0000SA0,05/01/1929,17.1
